fiscal_year,basis,actual_real,actual_nominal,actual_real_source_url,actual_nominal_source_url,notes
1990,2011base-ref,5.6,8.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-jfy_1980.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-mfy_1980.csv,
1991,2011base-ref,2.4,5.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-jfy_1980.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-mfy_1980.csv,
1992,2011base-ref,0.5,1.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-jfy_1980.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-mfy_1980.csv,
1993,2011base-ref,-0.9,-0.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-jfy_1980.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-mfy_1980.csv,
1994,2011base-ref,1.6,1.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-jfy_1980.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h23_retroactive/tables/ritu-mfy_1980.csv,
1981,2015base-ref,4.1,6.4,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1982,2015base-ref,3.2,4.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1983,2015base-ref,3.9,4.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1984,2015base-ref,4.4,6.2,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1985,2015base-ref,5.4,6.6,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1986,2015base-ref,2.7,4.1,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1987,2015base-ref,6.0,5.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1988,2015base-ref,6.2,6.9,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1989,2015base-ref,4.0,6.7,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1990,2015base-ref,5.6,8.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1991,2015base-ref,2.5,5.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1992,2015base-ref,0.6,2.0,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1993,2015base-ref,-0.8,-0.3,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
1994,2015base-ref,1.6,1.5,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-jfy_2780.csv,https://www.esri.cao.go.jp/jp/sna/data/data_list/h27_retroactive/tables/ritu-mfy_2780.csv,
